,Component,type,name
0,CellLine,id,Donor
1,CellLine,id,CellLine
2,Donor,id,Donor
3,Resource,id,GeneticReagent
4,Resource,id,AnimalModel
5,Resource,id,Donor
6,Resource,id,CellLine
7,Resource,id,Antibody
8,Resource,id,Resource
9,GeneticReagent,id,GeneticReagent
10,Antibody,id,Antibody
11,AnimalModel,id,AnimalModel
12,AnimalModel,id,Donor
13,Usage,id,GeneticReagent
14,Usage,id,AnimalModel
15,Usage,id,Donor
16,Usage,id,CellLine
17,Usage,id,Usage
18,Usage,id,Publication
19,Usage,id,Antibody
20,Usage,id,Resource
21,Publication,id,Publication
22,Biobank,id,GeneticReagent
23,Biobank,id,AnimalModel
24,Biobank,id,Donor
25,Biobank,id,Biobank
26,Biobank,id,CellLine
27,Biobank,id,Antibody
28,Biobank,id,Resource
29,VendorItem,id,GeneticReagent
30,VendorItem,id,AnimalModel
31,VendorItem,id,Donor
32,VendorItem,id,CellLine
33,VendorItem,id,VendorItem
34,VendorItem,id,Vendor
35,VendorItem,id,Antibody
36,VendorItem,id,Resource
37,Vendor,id,Vendor
38,Observation,id,GeneticReagent
39,Observation,id,Investigator
40,Observation,id,AnimalModel
41,Observation,id,CellLine
42,Observation,id,Donor
43,Observation,id,Observation
44,Observation,id,Antibody
45,Observation,id,Resource
46,Investigator,id,Investigator
47,ResourceApplication,id,GeneticReagent
48,ResourceApplication,id,AnimalModel
49,ResourceApplication,id,Donor
50,ResourceApplication,id,CellLine
51,ResourceApplication,id,ResourceApplication
52,ResourceApplication,id,Antibody
53,ResourceApplication,id,Resource
54,Mutation,id,Mutation
55,Mutation,id,AnimalModel
56,Mutation,id,Donor
57,Mutation,id,CellLine
58,Mutation,id,MutationDetails
59,MutationDetails,id,MutationDetails
60,Development,id,Funder
61,Development,id,GeneticReagent
62,Development,id,AnimalModel
63,Development,id,Investigator
64,Development,id,Donor
65,Development,id,CellLine
66,Development,id,Development
67,Development,id,Publication
68,Development,id,Antibody
69,Development,id,Resource
70,Funder,id,Funder
