,Component,type,name
0,Patient,id,FollowUp
1,Patient,id,Patient
2,Patient,id,Diagnosis
3,Patient,id,Therapy
4,Patient,id,Demographics
5,Patient,id,Exposure
6,Patient,id,MolecularTest
7,Patient,id,FamilyHistory
8,Demographics,id,Demographics
9,FamilyHistory,id,FamilyHistory
10,Exposure,id,Exposure
11,FollowUp,id,FollowUp
12,Diagnosis,id,Diagnosis
13,Therapy,id,Therapy
14,MolecularTest,id,MolecularTest
15,Biospecimen,id,FollowUp
16,Biospecimen,id,Patient
17,Biospecimen,id,Diagnosis
18,Biospecimen,id,Therapy
19,Biospecimen,id,Biospecimen
20,Biospecimen,id,Demographics
21,Biospecimen,id,Exposure
22,Biospecimen,id,MolecularTest
23,Biospecimen,id,FamilyHistory
24,ClinicalDataTier2,id,FollowUp
25,ClinicalDataTier2,id,Patient
26,ClinicalDataTier2,id,Diagnosis
27,ClinicalDataTier2,id,ClinicalDataTier2
28,ClinicalDataTier2,id,Therapy
29,ClinicalDataTier2,id,Demographics
30,ClinicalDataTier2,id,Exposure
31,ClinicalDataTier2,id,MolecularTest
32,ClinicalDataTier2,id,FamilyHistory
33,SRRSClinicalDataTier2,id,FollowUp
34,SRRSClinicalDataTier2,id,Patient
35,SRRSClinicalDataTier2,id,Diagnosis
36,SRRSClinicalDataTier2,id,SRRSClinicalDataTier2
37,SRRSClinicalDataTier2,id,Therapy
38,SRRSClinicalDataTier2,id,Demographics
39,SRRSClinicalDataTier2,id,Exposure
40,SRRSClinicalDataTier2,id,MolecularTest
41,SRRSClinicalDataTier2,id,FamilyHistory
42,LungCancerTier3,id,FollowUp
43,LungCancerTier3,id,Patient
44,LungCancerTier3,id,Diagnosis
45,LungCancerTier3,id,Therapy
46,LungCancerTier3,id,LungCancerTier3
47,LungCancerTier3,id,Demographics
48,LungCancerTier3,id,Exposure
49,LungCancerTier3,id,MolecularTest
50,LungCancerTier3,id,FamilyHistory
51,ColorectalCancerTier3,id,FollowUp
52,ColorectalCancerTier3,id,Patient
53,ColorectalCancerTier3,id,Diagnosis
54,ColorectalCancerTier3,id,Therapy
55,ColorectalCancerTier3,id,ColorectalCancerTier3
56,ColorectalCancerTier3,id,Demographics
57,ColorectalCancerTier3,id,Exposure
58,ColorectalCancerTier3,id,MolecularTest
59,ColorectalCancerTier3,id,FamilyHistory
60,BreastCancerTier3,id,FollowUp
61,BreastCancerTier3,id,Patient
62,BreastCancerTier3,id,Diagnosis
63,BreastCancerTier3,id,Therapy
64,BreastCancerTier3,id,BreastCancerTier3
65,BreastCancerTier3,id,Demographics
66,BreastCancerTier3,id,Exposure
67,BreastCancerTier3,id,MolecularTest
68,BreastCancerTier3,id,FamilyHistory
69,NeuroblastomaandGliomaTier3,id,NeuroblastomaandGliomaTier3
70,NeuroblastomaandGliomaTier3,id,FollowUp
71,NeuroblastomaandGliomaTier3,id,Patient
72,NeuroblastomaandGliomaTier3,id,Diagnosis
73,NeuroblastomaandGliomaTier3,id,Therapy
74,NeuroblastomaandGliomaTier3,id,Demographics
75,NeuroblastomaandGliomaTier3,id,Exposure
76,NeuroblastomaandGliomaTier3,id,MolecularTest
77,NeuroblastomaandGliomaTier3,id,FamilyHistory
78,AcuteLymphoblasticLeukemiaTier3,id,FollowUp
79,AcuteLymphoblasticLeukemiaTier3,id,Patient
80,AcuteLymphoblasticLeukemiaTier3,id,Diagnosis
81,AcuteLymphoblasticLeukemiaTier3,id,Therapy
82,AcuteLymphoblasticLeukemiaTier3,id,Demographics
83,AcuteLymphoblasticLeukemiaTier3,id,Exposure
84,AcuteLymphoblasticLeukemiaTier3,id,AcuteLymphoblasticLeukemiaTier3
85,AcuteLymphoblasticLeukemiaTier3,id,MolecularTest
86,AcuteLymphoblasticLeukemiaTier3,id,FamilyHistory
87,OvarianCancerTier3,id,FollowUp
88,OvarianCancerTier3,id,Patient
89,OvarianCancerTier3,id,Diagnosis
90,OvarianCancerTier3,id,Therapy
91,OvarianCancerTier3,id,OvarianCancerTier3
92,OvarianCancerTier3,id,Demographics
93,OvarianCancerTier3,id,Exposure
94,OvarianCancerTier3,id,MolecularTest
95,OvarianCancerTier3,id,FamilyHistory
96,ProstateCancerTier3,id,ProstateCancerTier3
97,ProstateCancerTier3,id,FollowUp
98,ProstateCancerTier3,id,Patient
99,ProstateCancerTier3,id,Diagnosis
100,ProstateCancerTier3,id,Therapy
101,ProstateCancerTier3,id,Demographics
102,ProstateCancerTier3,id,Exposure
103,ProstateCancerTier3,id,MolecularTest
104,ProstateCancerTier3,id,FamilyHistory
105,SarcomaTier3,id,FollowUp
106,SarcomaTier3,id,Patient
107,SarcomaTier3,id,Diagnosis
108,SarcomaTier3,id,Therapy
109,SarcomaTier3,id,SarcomaTier3
110,SarcomaTier3,id,Demographics
111,SarcomaTier3,id,Exposure
112,SarcomaTier3,id,MolecularTest
113,SarcomaTier3,id,FamilyHistory
114,PancreaticCancerTier3,id,FollowUp
115,PancreaticCancerTier3,id,Patient
116,PancreaticCancerTier3,id,Diagnosis
117,PancreaticCancerTier3,id,PancreaticCancerTier3
118,PancreaticCancerTier3,id,Therapy
119,PancreaticCancerTier3,id,Demographics
120,PancreaticCancerTier3,id,Exposure
121,PancreaticCancerTier3,id,MolecularTest
122,PancreaticCancerTier3,id,FamilyHistory
123,MelanomaTier3,id,FollowUp
124,MelanomaTier3,id,Patient
125,MelanomaTier3,id,MelanomaTier3
126,MelanomaTier3,id,Diagnosis
127,MelanomaTier3,id,Therapy
128,MelanomaTier3,id,Demographics
129,MelanomaTier3,id,Exposure
130,MelanomaTier3,id,MolecularTest
131,MelanomaTier3,id,FamilyHistory
132,SRRSBiospecimen,id,FollowUp
133,SRRSBiospecimen,id,Patient
134,SRRSBiospecimen,id,Diagnosis
135,SRRSBiospecimen,id,Therapy
136,SRRSBiospecimen,id,SRRSBiospecimen
137,SRRSBiospecimen,id,Demographics
138,SRRSBiospecimen,id,Exposure
139,SRRSBiospecimen,id,MolecularTest
140,SRRSBiospecimen,id,FamilyHistory
141,OtherAssay,id,FollowUp
142,OtherAssay,id,Patient
143,OtherAssay,id,Diagnosis
144,OtherAssay,id,Therapy
145,OtherAssay,id,OtherAssay
146,OtherAssay,id,Biospecimen
147,OtherAssay,id,Demographics
148,OtherAssay,id,Exposure
149,OtherAssay,id,MolecularTest
150,OtherAssay,id,FamilyHistory
151,ScRNA-seqLevel1,id,FollowUp
152,ScRNA-seqLevel1,id,Patient
153,ScRNA-seqLevel1,id,Diagnosis
154,ScRNA-seqLevel1,id,Therapy
155,ScRNA-seqLevel1,id,ScRNA-seqLevel1
156,ScRNA-seqLevel1,id,Biospecimen
157,ScRNA-seqLevel1,id,Demographics
158,ScRNA-seqLevel1,id,Exposure
159,ScRNA-seqLevel1,id,MolecularTest
160,ScRNA-seqLevel1,id,FamilyHistory
161,ScRNA-seqLevel2,id,FollowUp
162,ScRNA-seqLevel2,id,Patient
163,ScRNA-seqLevel2,id,Diagnosis
164,ScRNA-seqLevel2,id,Therapy
165,ScRNA-seqLevel2,id,ScRNA-seqLevel1
166,ScRNA-seqLevel2,id,ScRNA-seqLevel2
167,ScRNA-seqLevel2,id,Biospecimen
168,ScRNA-seqLevel2,id,Demographics
169,ScRNA-seqLevel2,id,Exposure
170,ScRNA-seqLevel2,id,MolecularTest
171,ScRNA-seqLevel2,id,FamilyHistory
172,ScRNA-seqLevel3,id,FollowUp
173,ScRNA-seqLevel3,id,Patient
174,ScRNA-seqLevel3,id,Diagnosis
175,ScRNA-seqLevel3,id,Therapy
176,ScRNA-seqLevel3,id,ScRNA-seqLevel3
177,ScRNA-seqLevel3,id,ScRNA-seqLevel2
178,ScRNA-seqLevel3,id,ScRNA-seqLevel1
179,ScRNA-seqLevel3,id,Biospecimen
180,ScRNA-seqLevel3,id,Demographics
181,ScRNA-seqLevel3,id,Exposure
182,ScRNA-seqLevel3,id,MolecularTest
183,ScRNA-seqLevel3,id,FamilyHistory
184,ScRNA-seqLevel4,id,FollowUp
185,ScRNA-seqLevel4,id,Patient
186,ScRNA-seqLevel4,id,Diagnosis
187,ScRNA-seqLevel4,id,Therapy
188,ScRNA-seqLevel4,id,ScRNA-seqLevel4
189,ScRNA-seqLevel4,id,ScRNA-seqLevel3
190,ScRNA-seqLevel4,id,ScRNA-seqLevel2
191,ScRNA-seqLevel4,id,ScRNA-seqLevel1
192,ScRNA-seqLevel4,id,Biospecimen
193,ScRNA-seqLevel4,id,Demographics
194,ScRNA-seqLevel4,id,Exposure
195,ScRNA-seqLevel4,id,MolecularTest
196,ScRNA-seqLevel4,id,FamilyHistory
197,BulkRNA-seqLevel1,id,FollowUp
198,BulkRNA-seqLevel1,id,Patient
199,BulkRNA-seqLevel1,id,Diagnosis
200,BulkRNA-seqLevel1,id,Therapy
201,BulkRNA-seqLevel1,id,BulkRNA-seqLevel1
202,BulkRNA-seqLevel1,id,Biospecimen
203,BulkRNA-seqLevel1,id,Demographics
204,BulkRNA-seqLevel1,id,Exposure
205,BulkRNA-seqLevel1,id,MolecularTest
206,BulkRNA-seqLevel1,id,FamilyHistory
207,BulkRNA-seqLevel2,id,FollowUp
208,BulkRNA-seqLevel2,id,Patient
209,BulkRNA-seqLevel2,id,Diagnosis
210,BulkRNA-seqLevel2,id,Therapy
211,BulkRNA-seqLevel2,id,BulkRNA-seqLevel2
