,Component,type,name
0,Patient,id,Biospecimen
1,Patient,id,ClinicalDataTier2
2,Patient,id,SRRSClinicalDataTier2
3,Patient,id,LungCancerTier3
4,Patient,id,ColorectalCancerTier3
5,Patient,id,BreastCancerTier3
6,Patient,id,NeuroblastomaandGliomaTier3
7,Patient,id,AcuteLymphoblasticLeukemiaTier3
8,Patient,id,OvarianCancerTier3
9,Patient,id,ProstateCancerTier3
10,Patient,id,SarcomaTier3
11,Patient,id,PancreaticCancerTier3
12,Patient,id,MelanomaTier3
13,Patient,id,SRRSBiospecimen
14,Patient,id,OtherAssay
15,Patient,id,ScRNA-seqLevel1
16,Patient,id,ScRNA-seqLevel2
17,Patient,id,ScRNA-seqLevel3
18,Patient,id,ScRNA-seqLevel4
19,Patient,id,BulkRNA-seqLevel1
20,Patient,id,BulkRNA-seqLevel2
21,Patient,id,BulkRNA-seqLevel3
22,Patient,id,BulkWESLevel1
23,Patient,id,BulkWESLevel2
24,Patient,id,BulkWESLevel3
25,Patient,id,ScATAC-seqLevel1
26,Patient,id,ImagingLevel2
27,Patient,id,ImagingLevel2Channels
28,Demographics,id,Patient
29,Demographics,id,FamilyHistory
30,Demographics,id,Exposure
31,Demographics,id,FollowUp
32,Demographics,id,Diagnosis
33,Demographics,id,Therapy
34,Demographics,id,MolecularTest
35,Demographics,id,Biospecimen
36,Demographics,id,ClinicalDataTier2
37,Demographics,id,SRRSClinicalDataTier2
38,Demographics,id,LungCancerTier3
39,Demographics,id,ColorectalCancerTier3
40,Demographics,id,BreastCancerTier3
41,Demographics,id,NeuroblastomaandGliomaTier3
42,Demographics,id,AcuteLymphoblasticLeukemiaTier3
43,Demographics,id,OvarianCancerTier3
44,Demographics,id,ProstateCancerTier3
45,Demographics,id,SarcomaTier3
46,Demographics,id,PancreaticCancerTier3
47,Demographics,id,MelanomaTier3
48,Demographics,id,SRRSBiospecimen
49,Demographics,id,OtherAssay
50,Demographics,id,ScRNA-seqLevel1
51,Demographics,id,ScRNA-seqLevel2
52,Demographics,id,ScRNA-seqLevel3
53,Demographics,id,ScRNA-seqLevel4
54,Demographics,id,BulkRNA-seqLevel1
55,Demographics,id,BulkRNA-seqLevel2
56,Demographics,id,BulkRNA-seqLevel3
57,Demographics,id,BulkWESLevel1
58,Demographics,id,BulkWESLevel2
59,Demographics,id,BulkWESLevel3
60,Demographics,id,ScATAC-seqLevel1
61,Demographics,id,ImagingLevel2
62,Demographics,id,ImagingLevel2Channels
63,FamilyHistory,id,Patient
